angle_rad,x_m,y_m,z_m
2.4,-0.484901467719,0.474533505233,0.335685429917
2.42092050209,-0.496360572526,0.461757998362,0.338619392589
2.44184100418,-0.507549919263,0.448745574361,0.34155335526
2.46276150628,-0.518464610897,0.435501928136,0.344487317932
2.48368200837,-0.529099870598,0.422032855789,0.347421280604
2.50460251046,-0.539451043827,0.408344252078,0.350355243275
2.52552301255,-0.54951360038,0.394442107839,0.353289205947
2.54644351464,-0.559283136363,0.380332507368,0.356223168618
2.56736401674,-0.568755376126,0.366021625751,0.35915713129
2.58828451883,-0.577926174129,0.351515726165,0.362091093961
2.60920502092,-0.586791516759,0.33682115714,0.365025056633
2.63012552301,-0.595347524086,0.321944349773,0.367959019304
2.6510460251,-0.60359045156,0.306891814922,0.370892981976
2.6719665272,-0.611516691654,0.291670140351,0.373826944647
2.69288702929,-0.619122775436,0.276285987846,0.376760907319
2.71380753138,-0.626405374092,0.260746090304,0.379694869991
2.73472803347,-0.633361300384,0.245057248785,0.382628832662
2.75564853556,-0.63998751004,0.229226329532,0.385562795334
2.77656903766,-0.646281103089,0.21326026097,0.388496758005
2.79748953975,-0.652239325131,0.197166030672,0.391430720677
2.81841004184,-0.657859568543,0.180950682301,0.394364683348
2.83933054393,-0.663139373616,0.164621312528,0.39729864602
2.86025104603,-0.668076429636,0.148185067925,0.400232608691
2.88117154812,-0.672668575893,0.131649141838,0.403166571363
2.90209205021,-0.676913802628,0.11502077124,0.406100534034
2.9230125523,-0.680810251911,0.0983072335601,0.409034496706
2.94393305439,-0.684356218456,0.0815158435029,0.411968459378
2.96485355649,-0.687550150365,0.0646539498443,0.414902422049
2.98577405858,-0.69039064981,0.0477289322166,0.417836384721
3.00669456067,-0.692876473641,0.0307481978781,0.420770347392
3.02761506276,-0.695006533934,0.0137191784719,0.423704310064
3.04853556485,-0.696779898466,-0.00335067322729,0.426638272735
3.06945606695,-0.69819579112,-0.020453886574,0.429572235407
3.09037656904,-0.699253592229,-0.0375829763223,0.432506198078
3.11129707113,-0.699952838846,-0.0547304459013,0.43544016075
3.13221757322,-0.700293224943,-0.0718887906961,0.438374123422
3.15313807531,-0.700274601551,-0.0890505013324,0.441308086093
3.17405857741,-0.699896976819,-0.106208066963,0.444242048765
3.1949790795,-0.699160516016,-0.123353978553,0.447176011436
3.21589958159,-0.698065541455,-0.140480732172,0.450109974108
3.23682008368,-0.696612532354,-0.157580832269,0.453043936779
3.25774058577,-0.694802124623,-0.174646794962,0.455977899451
3.27866108787,-0.69263511059,-0.191671151308,0.458911862122
3.29958158996,-0.690112438653,-0.208646450571,0.461845824794
3.32050209205,-0.687235212861,-0.225565263489,0.464779787465
3.34142259414,-0.684004692438,-0.242420185517,0.467713750137
3.36234309623,-0.680422291225,-0.259203840076,0.470647712809
3.38326359833,-0.676489577065,-0.275908881774,0.47358167548
3.40418410042,-0.672208271116,-0.292527999625,0.476515638152
3.42510460251,-0.667580247098,-0.30905392025,0.479449600823
3.4460251046,-0.662607530472,-0.325479411054,0.482383563495
3.46694560669,-0.657292297556,-0.341797283398,0.485317526166
3.48786610879,-0.651636874567,-0.358000395741,0.488251488838
3.50878661088,-0.645643736611,-0.374081656769,0.491185451509
3.52970711297,-0.639315506593,-0.390034028493,0.494119414181
